Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Algeria,18,25.9,,3,33,270,3.0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00
Argentina,20,26.2,,5,55,450,5.0,9,0,9,0,0,5,0,1.80,0.00,1.80,1.80,1.80
Australia,19,30.1,,3,33,270,3.0,3,0,3,0,0,7,2,1.00,0.00,1.00,1.00,1.00
Brazil,19,28.9,,5,55,450,5.0,9,0,9,0,0,2,1,1.80,0.00,1.80,1.80,1.80
Cameroon,20,26.1,,3,33,270,3.0,2,0,1,1,1,5,0,0.67,0.00,0.67,0.33,0.33
Chile,20,24.8,,4,44,360,4.0,3,0,3,0,0,3,1,0.75,0.00,0.75,0.75,0.75
C̫te d'Ivoire,16,27.5,,3,33,270,3.0,4,0,4,0,0,4,0,1.33,0.00,1.33,1.33,1.33
Denmark,19,28.4,,3,33,270,3.0,3,0,3,0,0,6,0,1.00,0.00,1.00,1.00,1.00
England,19,29.1,,4,44,360,4.0,3,0,3,0,0,4,0,0.75,0.00,0.75,0.75,0.75
France,19,27.5,,3,33,270,3.0,1,0,1,0,0,6,1,0.33,0.00,0.33,0.33,0.33
Germany,22,25.0,,7,77,630,7.0,16,0,16,0,0,2,1,2.29,0.00,2.29,2.29,2.29
Ghana,19,25.1,,5,55,510,5.7,5,0,3,2,2,3,0,0.88,0.00,0.88,0.53,0.53
Greece,19,27.5,,3,33,270,3.0,2,0,2,0,0,5,0,0.67,0.00,0.67,0.67,0.67
Honduras,19,27.9,,3,33,270,3.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00
Italy,19,28.5,,3,33,270,3.0,4,0,3,1,1,5,0,1.33,0.00,1.33,1.00,1.00
Japan,18,27.6,,4,44,390,4.3,4,0,4,0,0,3,0,0.92,0.00,0.92,0.92,0.92
Korea DPR,15,26.5,,3,35,270,3.0,1,0,1,0,0,2,0,0.33,0.00,0.33,0.33,0.33
Korea Republic,17,26.9,,4,44,360,4.0,6,0,6,0,0,3,0,1.50,0.00,1.50,1.50,1.50
Mexico,18,28.2,,4,44,360,4.0,4,0,3,1,1,8,0,1.00,0.00,1.00,0.75,0.75
Netherlands,19,28.0,,7,77,660,7.3,11,0,11,0,0,6,1,1.50,0.00,1.50,1.50,1.50
New Zealand,15,28.5,,3,33,270,3.0,2,0,2,0,0,6,0,0.67,0.00,0.67,0.67,0.67
Nigeria,18,26.4,,3,33,270,3.0,3,0,2,1,1,5,0,1.00,0.00,1.00,0.67,0.67
Paraguay,20,28.9,,5,55,480,5.3,3,0,3,0,0,4,0,0.56,0.00,0.56,0.56,0.56
Portugal,20,27.9,,4,44,360,4.0,7,0,7,0,0,1,1,1.75,0.00,1.75,1.75,1.75
Serbia,19,26.7,,3,33,270,3.0,2,0,2,0,0,8,1,0.67,0.00,0.67,0.67,0.67
Slovakia,21,25.8,,4,44,360,4.0,5,0,4,1,1,8,0,1.25,0.00,1.25,1.00,1.00
Slovenia,15,26.8,,3,33,270,3.0,3,0,3,0,0,8,0,1.00,0.00,1.00,1.00,1.00
South Africa,19,26.1,,3,33,270,3.0,3,0,3,0,0,5,0,1.00,0.00,1.00,1.00,1.00
Spain,20,26.9,,7,77,660,7.3,8,1,8,0,0,5,0,1.09,0.14,1.23,1.09,1.23
Switzerland,18,27.1,,3,33,270,3.0,1,0,1,0,0,8,0,0.33,0.00,0.33,0.33,0.33
United States,19,27.1,,4,44,390,4.3,5,0,4,1,1,6,0,1.15,0.00,1.15,0.92,0.92
Uruguay,21,26.3,,7,77,660,7.3,11,0,10,1,1,0,1,1.50,0.00,1.50,1.36,1.36