35,teams/statistics,[],11,1,2014,4,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,4,Russia,https://media.api-sports.io/football/teams/4.png,"['D', 'L', 'D']",1,2,3,0,0,0,1,1,2,0,1,1,1,1,2,1.0,0.5,0.7,1.0,50.00%,,,,,,,1.0,50.00%,,,,,,,1,2,3,1.0,1.0,1.0,,,,,,,1.0,33.33%,1.0,33.33%,1.0,33.33%,,,,,0,1,1,,,,1-0,1,1,1,1,0,0,0,0,1,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
37,teams/statistics,[],11,1,2014,6,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,6,Brazil,https://media.api-sports.io/football/teams/6.png,"['W', 'D', 'W', 'D', 'W', 'L', 'L']",6,1,7,2,1,3,2,0,2,2,0,2,7,4,11,1.2,4.0,1.6,2.0,16.67%,3.0,25.00%,1.0,8.33%,1.0,8.33%,2.0,16.67%,2.0,16.67%,1.0,8.33%,,,13,1,14,2.2,1.0,2.0,2.0,15.38%,6.0,46.15%,1.0,7.69%,,,1.0,7.69%,2.0,15.38%,1.0,7.69%,,,1,1,0,3-1,1-4,1-7,,3,4,7,1,1,0,1,2,0,2,1,100.00%,0,0%,1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 1, 0, 1, 0, 0]",0.43
38,teams/statistics,[],11,1,2014,7,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,7,Uruguay,https://media.api-sports.io/football/teams/7.png,"['L', 'W', 'W', 'L']",2,2,4,1,1,2,0,0,0,1,1,2,3,1,4,1.5,0.5,1.0,,,1.0,25.00%,1.0,25.00%,,,,,2.0,50.00%,,,,,4,2,6,2.0,1.0,1.5,,,1.0,16.67%,,,3.0,50.00%,1.0,16.67%,1.0,16.67%,,,,,2,0,1,2-1,0-1,1-3,2-0,2,1,3,2,0,1,1,0,1,1,1,100.00%,0,0%,1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 1, 1, 0]",0.5
39,teams/statistics,[],11,1,2014,8,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,8,Colombia,https://media.api-sports.io/football/teams/8.png,"['W', 'W', 'W', 'W', 'L']",3,2,5,3,1,4,0,0,0,0,1,1,7,5,12,2.3,2.5,2.4,1.0,8.33%,2.0,16.67%,,,3.0,25.00%,2.0,16.67%,3.0,25.00%,1.0,8.33%,,,1,3,4,0.3,1.5,0.8,1.0,25.00%,,,,,1.0,25.00%,2.0,50.00%,,,,,,,4,0,0,3-0,1-4,,2-1,3,4,1,2,2,0,2,0,0,0,2,100.00%,0,0%,2,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 1, 1, 0]",0.8
40,teams/statistics,[],11,1,2014,9,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,9,Spain,https://media.api-sports.io/football/teams/9.png,"['L', 'L', 'W']",2,1,3,0,1,1,0,0,0,2,0,2,1,3,4,0.5,3.0,1.3,,,1.0,25.00%,1.0,25.00%,,,1.0,25.00%,1.0,25.00%,,,,,7,0,7,3.5,0.0,2.3,,,1.0,14.29%,2.0,28.57%,1.0,14.29%,2.0,28.57%,1.0,14.29%,,,,,0,0,2,,0-3,1-5,,1,3,5,0,0,1,1,1,0,1,1,100.00%,0,0%,1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1]",0.33
41,teams/statistics,[],11,1,2014,10,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,10,England,https://media.api-sports.io/football/teams/10.png,"['L', 'L', 'D']",1,2,3,0,0,0,0,1,1,1,1,2,1,1,2,1.0,0.5,0.7,,,,,1.0,50.00%,,,1.0,50.00%,,,,,,,2,2,4,2.0,1.0,1.3,,,,,2.0,50.00%,1.0,25.00%,,,1.0,25.00%,,,,,0,0,2,,,1-2,2-1,1,1,2,2,0,1,1,0,1,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
43,teams/statistics,[],11,1,2014,12,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,12,Japan,https://media.api-sports.io/football/teams/12.png,"['L', 'D', 'L']",2,1,3,0,0,0,1,0,1,1,1,2,1,1,2,0.5,1.0,0.7,,,1.0,50.00%,,,1.0,50.00%,,,,,,,,,4,2,6,2.0,2.0,2.0,,,1.0,16.67%,,,1.0,16.67%,2.0,33.33%,2.0,33.33%,,,,,0,1,1,,,1-4,2-1,1,1,4,2,1,0,1,1,0,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
46,teams/statistics,[],11,1,2014,15,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,15,Switzerland,https://media.api-sports.io/football/teams/15.png,"['W', 'L', 'W', 'L']",2,2,4,1,1,2,0,0,0,1,1,2,4,3,7,2.0,1.5,1.8,1.0,14.29%,,,1.0,14.29%,1.0,14.29%,1.0,14.29%,2.0,28.57%,1.0,14.29%,,,6,1,7,3.0,0.5,1.8,,,3.0,42.86%,1.0,14.29%,,,2.0,28.57%,,,,,1.0,14.29%,1,0,1,2-1,0-3,2-5,1-0,2,3,5,1,0,1,1,0,1,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 1, 0]",0.5
47,teams/statistics,[],11,1,2014,16,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,16,Mexico,https://media.api-sports.io/football/teams/16.png,"['W', 'D', 'W', 'L']",1,3,4,1,1,2,0,1,1,0,1,1,1,4,5,1.0,1.3,1.3,,,,,,,1.0,20.00%,3.0,60.00%,1.0,20.00%,,,,,0,3,3,0.0,1.0,0.8,,,,,,,,,,,2.0,66.67%,1.0,33.33%,,,1,1,0,1-0,1-3,,2-1,1,3,0,2,1,1,2,0,1,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 1, 0]",0.5
48,teams/statistics,[],11,1,2014,17,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,17,South Korea,https://media.api-sports.io/football/teams/17.png,"['D', 'L', 'L']",2,1,3,0,0,0,0,1,1,2,0,2,2,1,3,1.0,1.0,1.0,,,,,,,1.0,33.33%,2.0,66.67%,,,,,,,5,1,6,2.5,1.0,2.0,,,2.0,33.33%,1.0,16.67%,,,2.0,33.33%,1.0,16.67%,,,,,0,1,0,,,2-4,,2,1,4,1,0,0,0,1,0,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
50,teams/statistics,[],11,1,2014,19,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,19,Nigeria,https://media.api-sports.io/football/teams/19.png,"['D', 'W', 'L', 'L']",2,2,4,1,0,1,0,1,1,1,1,2,3,0,3,1.5,0.0,0.8,1.0,25.00%,1.0,25.00%,,,1.0,25.00%,,,,,1.0,25.00%,,,3,2,5,1.5,1.0,1.3,1.0,25.00%,,,,,2.0,50.00%,,,1.0,25.00%,,,,,1,1,0,1-0,,2-3,2-0,2,0,3,2,1,1,2,0,2,2,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 1, 0, 0]",0.25
51,teams/statistics,[],11,1,2014,20,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,20,Australia,https://media.api-sports.io/football/teams/20.png,"['L', 'L', 'L']",2,1,3,0,0,0,0,0,0,2,1,3,2,1,3,1.0,1.0,1.0,,,1.0,33.33%,1.0,33.33%,1.0,33.33%,,,,,,,,,6,3,9,3.0,3.0,3.0,2.0,22.22%,1.0,11.11%,1.0,11.11%,1.0,11.11%,2.0,22.22%,1.0,11.11%,1.0,11.11%,,,0,0,3,,,0-3,3-1,2,1,3,3,0,0,0,1,0,1,1,100.00%,0,0%,1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
53,teams/statistics,[],11,1,2014,22,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,22,Iran,https://media.api-sports.io/football/teams/22.png,"['D', 'L', 'L']",1,2,3,0,0,0,1,0,1,0,2,2,0,1,1,0.0,0.5,0.3,,,,,,,,,,,1.0,100.00%,,,,,0,4,4,0.0,2.0,1.3,,,1.0,25.00%,,,1.0,25.00%,,,1.0,25.00%,1.0,25.00%,,,0,1,0,,,,3-1,0,1,0,3,1,0,1,1,1,2,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",0.0
56,teams/statistics,[],11,1,2014,25,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,25,Germany,https://media.api-sports.io/football/teams/25.png,"['W', 'D', 'W', 'W', 'W', 'W', 'W']",4,3,7,3,3,6,1,0,1,0,0,0,9,9,18,2.3,3.0,2.6,3.0,16.67%,4.0,22.22%,1.0,5.56%,3.0,16.67%,2.0,11.11%,2.0,11.11%,1.0,5.56%,2.0,11.11%,3,1,4,0.8,0.3,0.6,,,,,,,1.0,25.00%,1.0,25.00%,1.0,25.00%,,,1.0,25.00%,1,1,0,4-0,1-7,,,4,7,2,1,2,2,4,0,0,0,1,100.00%,0,0%,1,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 0, 1, 1, 1, 1, 1]",0.86
57,teams/statistics,[],11,1,2014,26,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,26,Argentina,https://media.api-sports.io/football/teams/26.png,"['W', 'W', 'W', 'W', 'W', 'D', 'L']",4,3,7,4,1,5,0,1,1,0,1,1,5,3,8,1.3,1.0,1.1,2.0,28.57%,,,,,2.0,28.57%,1.0,14.29%,,,1.0,14.29%,1.0,14.29%,1,3,4,0.3,1.0,0.6,2.0,40.00%,,,,,1.0,20.00%,,,1.0,20.00%,,,1.0,20.00%,5,1,0,2-1,2-3,,1-0,2,3,1,2,3,1,4,0,2,2,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 1, 1, 1, 0, 0]",0.71
58,teams/statistics,[],11,1,2014,27,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,27,Portugal,https://media.api-sports.io/football/teams/27.png,"['L', 'D', 'W']",1,2,3,1,0,1,0,1,1,0,1,1,2,2,4,2.0,1.0,1.3,1.0,33.33%,,,,,,,,,1.0,33.33%,1.0,33.33%,,,1,6,7,1.0,3.0,2.3,1.0,12.50%,1.0,12.50%,1.0,12.50%,2.0,25.00%,1.0,12.50%,2.0,25.00%,,,,,0,1,1,2-1,,,4-0,2,2,1,4,0,0,0,0,1,1,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 1]",0.33
60,teams/statistics,[],11,1,2014,29,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2014,29,Costa Rica,https://media.api-sports.io/football/teams/29.png,"['W', 'W', 'D', 'D', 'D']",2,3,5,0,2,2,2,1,3,0,0,0,1,4,5,0.5,1.3,1.0,,,,,1.0,20.00%,3.0,60.00%,,,1.0,20.00%,,,,,1,1,2,0.5,0.3,0.4,,,1.0,50.00%,,,,,,,,,1.0,50.00%,,,2,0,0,,1-3,,,1,3,1,1,1,2,3,1,1,2,0,0%,0,0%,0,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 0, 0, 0]",0.4
64,teams/statistics,[],11,1,2018,1,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,1,Belgium,https://media.api-sports.io/football/teams/1.png,"['W', 'W', 'W', 'W', 'W', 'L', 'W']",4,3,7,4,2,6,0,0,0,0,1,1,13,3,16,3.3,1.0,2.3,2.0,13.33%,1.0,6.67%,1.0,6.67%,4.0,26.67%,4.0,26.67%,2.0,13.33%,1.0,6.67%,,,4,2,6,1.0,0.7,0.9,1.0,14.29%,1.0,14.29%,,,3.0,42.86%,,,1.0,14.29%,1.0,14.29%,,,5,0,1,5-2,1-2,,1-0,5,2,2,1,2,1,3,0,1,1,1,100.00%,0,0%,1,"[{'formation': '3-4-2-1', 'played': 5}, {'formation': '4-3-3', 'played': 1}, {'formation': '4-2-3-1', 'played': 1}]",1.0,9.09%,1.0,9.09%,1.0,9.09%,2.0,18.18%,3.0,27.27%,3.0,27.27%,,,,,,,,,,,,,,,,,,,,,"[1, 1, 1, 1, 1, 0, 1]",0.86
65,teams/statistics,[],11,1,2018,2,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,2,France,https://media.api-sports.io/football/teams/2.png,"['W', 'W', 'D', 'W', 'W', 'W', 'W']",5,2,7,5,1,6,0,1,1,0,0,0,12,2,14,2.4,1.0,2.0,1.0,8.33%,,,3.0,25.00%,4.0,33.33%,4.0,33.33%,,,,,,,6,0,6,1.2,0.0,0.9,,,2.0,25.00%,1.0,12.50%,1.0,12.50%,2.0,25.00%,1.0,12.50%,1.0,12.50%,,,2,1,0,4-2,0-2,,,4,2,3,0,2,2,4,0,1,1,3,100.00%,0,0%,3,"[{'formation': '4-2-3-1', 'played': 5}, {'formation': '4-4-2', 'played': 1}, {'formation': '4-3-3', 'played': 1}]",,,2.0,16.67%,2.0,16.67%,,,3.0,25.00%,5.0,41.67%,,,,,,,,,,,,,,,,,,,,,"[1, 1, 0, 1, 1, 1, 1]",0.86
66,teams/statistics,[],11,1,2018,3,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,3,Croatia,https://media.api-sports.io/football/teams/3.png,"['W', 'W', 'W', 'D', 'D', 'W', 'L']",3,4,7,2,2,4,1,1,2,0,1,1,5,9,14,1.7,2.3,2.0,1.0,4.76%,2.0,9.52%,1.0,4.76%,2.0,9.52%,3.0,14.29%,2.0,9.52%,2.0,9.52%,8.0,38.10%,2,7,9,0.7,1.8,1.3,2.0,14.29%,,,3.0,21.43%,1.0,7.14%,1.0,7.14%,1.0,7.14%,,,6.0,42.86%,3,2,0,2-0,0-3,,4-2,2,3,1,4,1,1,2,0,0,0,8,72.73%,3,27.27%,11,"[{'formation': '4-1-4-1', 'played': 4}, {'formation': '4-2-3-1', 'played': 2}, {'formation': '4-3-2-1', 'played': 1}]",1.0,6.67%,1.0,6.67%,3.0,20.00%,2.0,13.33%,1.0,6.67%,4.0,26.67%,2.0,13.33%,1.0,6.67%,,,,,,,,,,,,,,,,,"[1, 1, 1, 0, 0, 1, 0]",0.57
67,teams/statistics,[],11,1,2018,4,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,4,Russia,https://media.api-sports.io/football/teams/4.png,"['W', 'W', 'L', 'D', 'D']",3,2,5,2,0,2,1,1,2,0,1,1,10,1,11,3.3,0.5,2.2,2.0,10.53%,1.0,5.26%,3.0,15.79%,1.0,5.26%,2.0,10.53%,,,2.0,10.53%,8.0,42.11%,3,4,7,1.0,2.0,1.4,1.0,7.69%,,,1.0,7.69%,1.0,7.69%,1.0,7.69%,1.0,7.69%,1.0,7.69%,7.0,53.85%,2,0,1,5-0,,,3-0,5,1,2,3,1,0,1,0,1,1,8,80.00%,2,20.00%,10,"[{'formation': '4-2-3-1', 'played': 4}, {'formation': '3-4-2-1', 'played': 1}]",1.0,12.50%,1.0,12.50%,1.0,12.50%,1.0,12.50%,1.0,12.50%,2.0,25.00%,,,1.0,12.50%,,,,,1.0,100.00%,,,,,,,,,,,"[1, 1, 0, 0, 0]",0.4
68,teams/statistics,[],11,1,2018,5,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,5,Sweden,https://media.api-sports.io/football/teams/5.png,"['W', 'L', 'W', 'W', 'L']",3,2,5,2,1,3,0,0,0,1,1,2,2,4,6,0.7,2.0,1.2,,,,,1.0,20.00%,1.0,20.00%,3.0,60.00%,,,,,,,2,2,4,0.7,1.0,0.8,,,1.0,20.00%,,,2.0,40.00%,1.0,20.00%,,,1.0,20.00%,,,2,0,1,1-0,0-3,0-2,2-1,1,3,2,2,2,1,3,1,0,1,2,100.00%,0,0%,2,"[{'formation': '4-4-2', 'played': 5}]",,,1.0,12.50%,1.0,12.50%,1.0,12.50%,1.0,12.50%,4.0,50.00%,,,,,,,,,,,,,,,,,,,,,"[1, 0, 1, 1, 0]",0.6
69,teams/statistics,[],11,1,2018,6,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,6,Brazil,https://media.api-sports.io/football/teams/6.png,"['D', 'W', 'W', 'W', 'L']",4,1,5,2,1,3,1,0,1,1,0,1,6,2,8,1.5,2.0,1.6,1.0,11.11%,1.0,11.11%,1.0,11.11%,1.0,11.11%,1.0,11.11%,2.0,22.22%,2.0,22.22%,,,3,0,3,0.8,0.0,0.6,,,,,1.0,50.00%,1.0,50.00%,,,,,,,,,3,1,0,2-0,0-2,1-2,,2,2,2,0,2,1,3,0,0,0,0,0%,0,0%,0,"[{'formation': '4-3-3', 'played': 4}, {'formation': '4-4-2', 'played': 1}]",,,,,1.0,14.29%,2.0,28.57%,,,4.0,57.14%,,,,,,,,,,,,,,,,,,,,,"[0, 1, 1, 1, 0]",0.6
70,teams/statistics,[],11,1,2018,7,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,7,Uruguay,https://media.api-sports.io/football/teams/7.png,"['W', 'W', 'W', 'W', 'L']",4,1,5,3,1,4,0,0,0,1,0,1,6,1,7,1.5,1.0,1.4,2.0,33.33%,1.0,16.67%,,,,,1.0,16.67%,2.0,33.33%,,,,,3,0,3,0.8,0.0,0.6,,,1.0,25.00%,1.0,25.00%,1.0,25.00%,1.0,25.00%,,,,,,,4,0,0,3-0,0-1,0-2,,3,1,2,0,2,1,3,1,0,1,0,0%,0,0%,0,"[{'formation': '4-3-1-2', 'played': 3}, {'formation': '4-4-2', 'played': 2}]",,,,,1.0,33.33%,1.0,33.33%,1.0,33.33%,,,,,,,,,,,,,,,,,,,,,,,"[1, 1, 1, 1, 0]",0.8
71,teams/statistics,[],11,1,2018,8,1,1,1,World Cup,World,https://media.api-sports.io/football/leagues/1.png,,2018,8,Colombia,https://media.api-sports.io/football/teams/8.png,"['L', 'W', 'W', 'D']",2,2,4,0,2,2,1,0,1,1,0,1,2,4,6,1.0,2.0,1.5,,,,,2.0,22.22%,,,3.0,33.33%,,,1.0,11.11%,3.0,33.33%,3,0,3,1.5,0.0,0.8,1.0,14.29%,,,,,1.0,14.29%,1.0,14.29%,,,,,4.0,57.14%,2,0,1,,0-3,1-2,,1,3,2,0,0,2,2,0,0,0,3,60.00%,2,40.00%,5,"[{'formation': '4-2-3-1', 'played': 3}, {'formation': '4-3-1-2', 'played': 1}]",,,,,2.0,22.22%,2.0,22.22%,3.0,33.33%,1.0,11.11%,,,1.0,11.11%,1.0,100.00%,,,,,,,,,,,,,,,"[0, 1, 1, 0]",0.5
